" CT UID - Census Tract Unique Identifier
(""CMA Code""+""0""+""Census Tract ID""),
n=531","CT ID - Census Tract Identifier,
n=531","Neighb ID, 
 n=140","Neighbourhood Name,
 n=140","CPA ID,
n=46","CPA Name 
(Community Planning Area),
 n=46","Sub-LHIN ID,
n=14","Sub-LHIN Name, 
n=14","LHIN ID,
n=5","LHIN Name, 
n=5"
5350001.00,1.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350002.00,2.00,77,Waterfront Communities-The Island,733,Downtown Centre,0703,South West,7,Toronto Central
5350003.00,3.00,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350004.00,4.00,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350005.00,5.00,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350006.00,6.00,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350007.01,7.01,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350007.02,7.02,85,South Parkdale,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350008.00,8.00,82,Niagara,732,West Downtown,0703,South West,7,Toronto Central
5350009.00,9.00,82,Niagara,732,West Downtown,0703,South West,7,Toronto Central
5350010.01,10.01,82,Niagara,732,West Downtown,0703,South West,7,Toronto Central
5350010.02,10.02,82,Niagara,732,West Downtown,0703,South West,7,Toronto Central
5350011.00,11.00,77,Waterfront Communities-The Island,733,Downtown Centre,0703,South West,7,Toronto Central
5350012.00,12.00,77,Waterfront Communities-The Island,733,Downtown Centre,0703,South West,7,Toronto Central
5350013.00,13.00,77,Waterfront Communities-The Island,733,Downtown Centre,0703,South West,7,Toronto Central
5350014.00,14.00,76,Bay Street Corridor,733,Downtown Centre,0703,South West,7,Toronto Central
5350015.00,15.00,75,Church-Yonge Corridor,751,East Downtown,0705,South East,7,Toronto Central
5350016.00,16.00,73,Moss Park,751,East Downtown,0705,South East,7,Toronto Central
5350017.00,17.00,77,Waterfront Communities-The Island,733,Downtown Centre,0703,South West,7,Toronto Central
5350018.00,18.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350019.00,19.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350020.00,20.00,63,The Beaches,761,Beaches Woodbine,0706,East,7,Toronto Central
5350021.00,21.00,63,The Beaches,761,Beaches Woodbine,0706,East,7,Toronto Central
5350022.00,22.00,63,The Beaches,761,Beaches Woodbine,0706,East,7,Toronto Central
5350023.00,23.00,63,The Beaches,761,Beaches Woodbine,0706,East,7,Toronto Central
5350024.00,24.00,63,The Beaches,761,Beaches Woodbine,0706,East,7,Toronto Central
5350025.00,25.00,64,Woodbine Corridor,761,Beaches Woodbine,0706,East,7,Toronto Central
5350026.00,26.00,65,Greenwood-Coxwell,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350027.00,27.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350028.00,28.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
