hood_id,Assault,Auto Theft,Break and Enter,Robbery,Theft Over,Average Income
1,1082,1181,503,306,192,31138.833333333332
2,1048,217,140,387,14,26815.0
3,225,62,86,92,10,32880.5
4,285,83,62,75,4,34970.5
5,246,59,56,78,5,31303.5
6,452,186,143,91,18,36639.5
7,374,176,166,135,17,46341.6
8,148,109,105,41,16,44669.333333333336
9,94,86,169,19,13,106282.0
10,67,74,109,36,11,109143.33333333333
11,247,111,121,73,16,47450.5
12,71,42,88,25,8,60749.0
13,208,50,82,23,6,38135.5
14,831,406,440,174,143,51380.4
15,113,65,112,65,13,159168.25
16,332,116,211,62,29,69987.4
17,978,141,230,67,54,48929.25
18,396,47,140,83,13,42919.333333333336
19,240,47,105,40,8,47656.0
20,152,59,99,28,27,47817.0
21,532,269,207,137,66,30696.333333333332
22,399,153,87,78,18,29306.333333333332
23,186,127,106,72,19,39291.5
24,1058,197,112,212,41,26005.4
25,1050,177,137,177,25,27728.428571428572
26,1382,339,270,233,55,34528.6
27,1248,412,425,286,144,30310.8
28,340,66,94,66,4,31832.5
29,177,64,66,40,10,37484.0
30,344,101,111,77,18,31820.333333333332
31,571,208,229,102,87,39024.333333333336
32,336,96,156,95,16,50438.0
33,202,172,158,31,14,51874.5
34,294,122,176,49,29,47956.666666666664
35,334,89,184,35,17,34437.2
36,409,85,204,80,21,34550.5
37,236,42,102,26,10,55779.0
38,212,83,152,32,19,103128.0
39,217,163,403,62,45,122339.0
40,222,77,333,43,45,101237.0
41,87,30,183,6,15,312283.3333333333
42,320,58,258,63,36,66299.4
43,279,41,100,35,17,35555.666666666664
44,575,32,97,92,19,24957.333333333332
45,607,135,244,100,24,45370.25
46,159,44,75,35,13,35499.0
47,518,129,229,114,32,37448.666666666664
48,230,75,142,62,13,40268.25
49,141,54,128,12,8,46111.0
50,533,110,230,84,42,48954.0
51,720,139,342,155,59,52055.666666666664
52,348,77,157,32,31,57011.0
53,207,43,94,16,15,39805.0
54,520,42,138,62,23,43463.4
55,370,38,107,50,33,27976.25
56,154,30,138,39,21,155932.0
57,146,15,63,20,4,45451.5
58,291,21,93,42,13,54044.0
59,194,30,99,24,4,51117.5
60,187,12,97,34,11,47333.0
61,374,35,155,87,9,30908.0
62,741,84,342,148,35,51822.5
63,344,46,172,91,23,99208.8
64,298,22,128,41,10,55605.333333333336
65,379,58,171,56,25,45716.0
66,527,46,196,127,23,55212.333333333336
67,309,31,157,61,11,70945.0
68,154,26,129,102,11,73342.66666666667
69,210,16,70,45,3,49444.5
70,762,91,396,173,71,51544.333333333336
71,434,42,273,105,23,78824.0
72,483,35,130,75,18,35943.0
73,1557,78,484,462,56,50013.0
74,671,60,281,122,33,52021.0
75,3022,121,722,679,141,87561.0
76,1897,77,410,213,135,79451.0
77,2979,187,757,215,190,64146.333333333336
78,1548,108,389,289,95,36305.25
79,598,46,229,126,22,47445.333333333336
80,323,69,155,67,17,57154.0
81,598,58,229,70,26,50812.5
82,630,71,242,47,53,63391.0
83,249,26,82,71,17,40610.0
84,318,44,140,31,10,43076.333333333336
85,640,58,191,93,22,39310.8
86,666,62,212,127,23,48830.666666666664
87,257,48,133,68,20,69434.66666666667
88,461,40,168,137,13,55569.0
89,182,64,102,76,6,70867.5
90,411,97,159,69,20,49755.0
91,345,62,72,49,17,33679.0
92,365,47,101,108,10,42620.25
93,1075,131,355,247,40,40740.4
94,232,54,137,49,13,53827.0
95,1225,81,591,260,113,119898.33333333333
96,163,19,119,26,24,151848.33333333334
97,93,12,69,7,12,123382.0
98,636,63,352,122,41,225566.0
99,152,34,88,18,11,85851.33333333333
100,112,17,84,33,9,89731.0
101,70,35,144,5,17,190339.0
102,169,46,152,39,14,89415.0
103,76,78,195,19,13,187420.33333333334
104,540,32,235,79,24,57558.0
105,112,83,134,16,16,110575.33333333333
106,116,50,95,20,13,68619.66666666667
107,385,52,109,77,9,39658.25
108,479,74,156,130,22,34307.0
109,161,28,47,24,6,35606.0
110,189,66,55,73,7,32975.0
111,509,157,138,166,21,33823.8
112,269,46,81,78,11,34442.5
113,631,164,175,147,15,34279.0
114,77,18,39,9,3,73306.5
115,418,80,97,119,8,30768.666666666668
116,177,97,215,45,16,32072.0
117,633,90,292,178,27,31306.875
118,375,81,206,94,23,35349.2
119,984,224,391,166,62,35221.0
120,957,137,431,188,37,36605.0
121,635,63,262,156,22,25952.333333333332
122,624,57,307,78,19,55951.666666666664
123,404,56,197,105,16,48204.0
124,823,68,167,185,16,31077.0
125,412,42,131,70,14,31485.0
126,669,164,335,157,28,32028.75
127,963,189,300,295,52,33288.666666666664
128,446,122,287,118,54,31420.5
129,301,92,222,115,22,31192.666666666668
130,367,170,386,149,55,27895.25
131,741,184,303,159,50,47347.25
132,1014,138,204,206,27,29556.875
133,151,19,60,21,5,54372.0
134,357,71,135,92,12,41095.0
135,495,56,83,66,3,32517.25
136,1552,86,312,271,28,33509.8
137,1507,160,432,356,64,31234.3
138,863,103,265,226,21,30498.25
139,630,64,163,111,12,35177.333333333336
140,192,13,66,39,9,53396.0
