Division,FID,Hood_ID,Index_,Lat,Long,MCI,Neighbourhood,event_unique_id,occurrencedate,occurrenceday,occurrencedayofweek,occurrencedayofyear,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear,ucr_code,ucr_ext
D22,1,14,501,43.6385269,-79.5380096,Assault,Islington-City Centre West (14),GO-201524666,1.36842E+12,13,Monday    ,133,20,May,2013,Assault,Outside,1.42043E+12,5,Monday    ,5,14,January,2015,1430,100
D52,2,77,502,43.6429138,-79.3814774,Robbery,Waterfront Communities-The Island (77),GO-20141383912,1.37809E+12,2,Monday    ,245,13,September,2013,Robbery With Weapon,Commercial,1.39028E+12,21,Tuesday   ,21,13,January,2014,1610,100
D52,3,77,503,43.6429138,-79.3814774,Robbery,Waterfront Communities-The Island (77),GO-20141383912,1.37809E+12,2,Monday    ,245,13,September,2013,Robbery With Weapon,Commercial,1.39028E+12,21,Tuesday   ,21,13,January,2014,1610,100
D51,4,73,504,43.6512794,-79.3682632,Break and Enter,Moss Park (73),GO-20141291615,1.37896E+12,12,Thursday  ,255,12,September,2013,B&E,Apartment,1.38898E+12,6,Monday    ,6,13,January,2014,2120,200
D31,5,22,505,43.7418175,-79.5308533,Break and Enter,Humbermede (22),GO-20141456404,1.37896E+12,12,Thursday  ,255,0,September,2013,B&E,Commercial,1.39132E+12,2,Sunday    ,33,17,February,2014,2120,200
D43,6,135,506,43.7826042,-79.2049789,Assault,Morningside (135),GO-20142898856,1.37896E+12,12,Thursday  ,255,23,September,2013,Assault,Other,1.41049E+12,12,Friday    ,255,23,September,2014,1430,100
D41,7,127,507,43.7565842,-79.2609711,Assault,Bendale (127),GO-20141438766,1.38025E+12,27,Friday    ,270,0,September,2013,Assault,House,1.39106E+12,30,Thursday  ,30,17,January,2014,1430,100
D54,8,58,508,43.6906204,-79.3426666,Assault,Old East York (58),GO-20141524497,1.38025E+12,27,Friday    ,270,18,September,2013,Assault,Apartment,1.39227E+12,13,Thursday  ,44,18,February,2014,1430,100
D14,9,77,509,43.639946,-79.3956299,Assault,Waterfront Communities-The Island (77),GO-20142388214,1.37922E+12,15,Sunday    ,258,0,September,2013,Assault With Weapon,Apartment,1.40393E+12,28,Saturday  ,179,17,June,2014,1420,100
D14,10,77,510,43.639946,-79.3956299,Assault,Waterfront Communities-The Island (77),GO-20142388214,1.37922E+12,15,Sunday    ,258,0,September,2013,Assault,Apartment,1.40393E+12,28,Saturday  ,179,17,June,2014,1430,100
