census_tract,hood_id,neighbourhood,dguid
5350001.00,70,South Riverdale,2016S05075350001.00
5350002.00,77,Waterfront Communities-The Island,2016S05075350002.00
5350003.00,85,South Parkdale,2016S05075350003.00
5350004.00,85,South Parkdale,2016S05075350004.00
5350005.00,85,South Parkdale,2016S05075350005.00
5350006.00,85,South Parkdale,2016S05075350006.00
5350007.01,85,South Parkdale,2016S05075350007.01
5350007.02,85,South Parkdale,2016S05075350007.02
5350009.00,82,Niagara,2016S05075350009.00
5350010.01,82,Niagara,2016S05075350010.01
5350010.02,82,Niagara,2016S05075350010.02
5350011.00,77,Waterfront Communities-The Island,2016S05075350011.00
5350014.00,76,Bay Street Corridor,2016S05075350014.00
5350015.00,75,Church-Yonge Corridor,2016S05075350015.00
5350016.00,73,Moss Park,2016S05075350016.00
5350017.00,77,Waterfront Communities-The Island,2016S05075350017.00
5350018.00,70,South Riverdale,2016S05075350018.00
5350019.00,70,South Riverdale,2016S05075350019.00
5350020.00,63,The Beaches,2016S05075350020.00
5350021.00,63,The Beaches,2016S05075350021.00
5350022.00,63,The Beaches,2016S05075350022.00
5350023.00,63,The Beaches,2016S05075350023.00
5350024.00,63,The Beaches,2016S05075350024.00
5350025.00,64,Woodbine Corridor,2016S05075350025.00
5350026.00,65,Greenwood-Coxwell,2016S05075350026.00
5350027.00,70,South Riverdale,2016S05075350027.00
5350029.00,70,South Riverdale,2016S05075350029.00
5350030.00,72,Regent Park,2016S05075350030.00
5350031.00,72,Regent Park,2016S05075350031.00
5350032.00,73,Moss Park,2016S05075350032.00
5350033.00,73,Moss Park,2016S05075350033.00
5350035.00,76,Bay Street Corridor,2016S05075350035.00
5350036.00,78,Kensington-Chinatown,2016S05075350036.00
5350037.00,78,Kensington-Chinatown,2016S05075350037.00
5350038.00,78,Kensington-Chinatown,2016S05075350038.00
5350039.00,78,Kensington-Chinatown,2016S05075350039.00
5350040.00,81,Trinity-Bellwoods,2016S05075350040.00
5350041.00,81,Trinity-Bellwoods,2016S05075350041.00
5350042.00,81,Trinity-Bellwoods,2016S05075350042.00
5350043.00,81,Trinity-Bellwoods,2016S05075350043.00
5350044.00,84,Little Portugal,2016S05075350044.00
5350045.00,84,Little Portugal,2016S05075350045.00
5350046.00,84,Little Portugal,2016S05075350046.00
5350047.02,86,Roncesvalles,2016S05075350047.02
5350048.00,86,Roncesvalles,2016S05075350048.00
5350049.00,87,High Park-Swansea,2016S05075350049.00
5350050.01,87,High Park-Swansea,2016S05075350050.01
5350051.00,87,High Park-Swansea,2016S05075350051.00
5350052.00,86,Roncesvalles,2016S05075350052.00
5350053.00,83,Dufferin Grove,2016S05075350053.00
5350054.00,83,Dufferin Grove,2016S05075350054.00
5350055.00,80,Palmerston-Little Italy,2016S05075350055.00
5350056.00,80,Palmerston-Little Italy,2016S05075350056.00
5350057.00,80,Palmerston-Little Italy,2016S05075350057.00
5350058.00,80,Palmerston-Little Italy,2016S05075350058.00
5350059.00,79,University,2016S05075350059.00
5350060.00,79,University,2016S05075350060.00
5350061.00,79,University,2016S05075350061.00
5350062.01,76,Bay Street Corridor,2016S05075350062.01
5350062.02,76,Bay Street Corridor,2016S05075350062.02
5350064.00,74,North St. James Town,2016S05075350064.00
5350066.00,71,Cabbagetown-South St. James Town,2016S05075350066.00
5350067.00,71,Cabbagetown-South St. James Town,2016S05075350067.00
5350068.00,71,Cabbagetown-South St. James Town,2016S05075350068.00
5350069.00,68,North Riverdale,2016S05075350069.00
5350070.00,68,North Riverdale,2016S05075350070.00
5350071.00,68,North Riverdale,2016S05075350071.00
5350072.01,69,Blake-Jones,2016S05075350072.01
5350072.02,69,Blake-Jones,2016S05075350072.02
5350073.00,70,South Riverdale,2016S05075350073.00
5350074.00,65,Greenwood-Coxwell,2016S05075350074.00
5350075.00,65,Greenwood-Coxwell,2016S05075350075.00
5350076.00,64,Woodbine Corridor,2016S05075350076.00
5350077.00,64,Woodbine Corridor,2016S05075350077.00
5350078.00,62,East End-Danforth,2016S05075350078.00
5350079.00,62,East End-Danforth,2016S05075350079.00
5350080.01,62,East End-Danforth,2016S05075350080.01
5350080.02,62,East End-Danforth,2016S05075350080.02
5350081.00,66,Danforth Village - Toronto,2016S05075350081.00
5350082.00,66,Danforth Village - Toronto,2016S05075350082.00
5350083.00,66,Danforth Village - Toronto,2016S05075350083.00
5350084.00,67,Playter Estates-Danforth,2016S05075350084.00
5350085.00,67,Playter Estates-Danforth,2016S05075350085.00
5350086.00,98,Rosedale-Moore Park,2016S05075350086.00
5350087.00,98,Rosedale-Moore Park,2016S05075350087.00
5350088.00,98,Rosedale-Moore Park,2016S05075350088.00
5350089.00,95,Annex,2016S05075350089.00
5350090.00,95,Annex,2016S05075350090.00
5350091.01,95,Annex,2016S05075350091.01
5350091.02,95,Annex,2016S05075350091.02
5350092.00,95,Annex,2016S05075350092.00
5350093.00,95,Annex,2016S05075350093.00
5350094.00,93,Dovercourt-Wallace Emerson-Junction,2016S05075350094.00
5350095.00,93,Dovercourt-Wallace Emerson-Junction,2016S05075350095.00
5350097.01,93,Dovercourt-Wallace Emerson-Junction,2016S05075350097.01
5350098.00,93,Dovercourt-Wallace Emerson-Junction,2016S05075350098.00
5350099.00,88,High Park North,2016S05075350099.00
5350100.00,90,Junction Area,2016S05075350100.00
5350101.00,90,Junction Area,2016S05075350101.00
5350102.02,88,High Park North,2016S05075350102.02
5350102.03,88,High Park North,2016S05075350102.03
5350103.00,88,High Park North,2016S05075350103.00
5350104.00,89,Runnymede-Bloor West Village,2016S05075350104.00
5350105.00,90,Junction Area,2016S05075350105.00
5350106.00,90,Junction Area,2016S05075350106.00
5350107.00,91,Weston-Pellam Park,2016S05075350107.00
5350108.00,91,Weston-Pellam Park,2016S05075350108.00
5350109.00,93,Dovercourt-Wallace Emerson-Junction,2016S05075350109.00
5350110.00,92,Corso Italia-Davenport,2016S05075350110.00
5350111.00,92,Corso Italia-Davenport,2016S05075350111.00
5350112.00,92,Corso Italia-Davenport,2016S05075350112.00
5350113.00,92,Corso Italia-Davenport,2016S05075350113.00
5350114.00,94,Wychwood,2016S05075350114.00
5350115.00,94,Wychwood,2016S05075350115.00
5350116.00,94,Wychwood,2016S05075350116.00
5350117.00,96,Casa Loma,2016S05075350117.00
5350118.00,96,Casa Loma,2016S05075350118.00
5350119.00,96,Casa Loma,2016S05075350119.00
5350120.00,97,Yonge-St.Clair,2016S05075350120.00
5350121.00,97,Yonge-St.Clair,2016S05075350121.00
5350122.00,97,Yonge-St.Clair,2016S05075350122.00
5350123.00,97,Yonge-St.Clair,2016S05075350123.00
5350124.00,98,Rosedale-Moore Park,2016S05075350124.00
5350125.00,98,Rosedale-Moore Park,2016S05075350125.00
5350126.00,99,Mount Pleasant East,2016S05075350126.00
5350127.00,99,Mount Pleasant East,2016S05075350127.00
5350128.02,104,Mount Pleasant West,2016S05075350128.02
